AJANTA PHARMA|10-NOV-22|5|1000|23-NOV-22|8|800
BAJAJ ELECTRICALS|11-NOV-22|3|1200|24-NOV-22|8|800
CIPLA|12-NOV-22|4|1100|25-NOV-22|8|800
GODREJ PROP|13-NOV-22|5|1400|25-NOV-22|8|800
INFOSYS|14-NOV-22|6|1300|2-NOV-22|8|800
HAVELLES|15-NOV-22|7|1250|21-NOV-22|8|800
HDFC BANK|16-NOV-22|8|1300|21-NOV-22|8|800
TESLA|17-NOV-22|9|1500|21-NOV-22|8|800
ICICI|18-NOV-22|10|1150|21-NOV-22|8|800
RAYMOND|19-NOV-22|11|1350|21-NOV-22|8|800
INFOSYS||||||
|01-02-22|4|3000|02-03-22|2|2000
TESLA
|23-03-22|4|2000|02-04-22|2|1000
TESLA
|01-02-22|4|3000|02-03-22|4|2000
BAJAJ ELECTRICALS
|1|1|1|1|1|1
